Parameters,,,,,,,,,,,,,,
(is edge pump/pipe/valve),e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14
Pump,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Pipe,0,1,1,0,1,1,1,1,1,1,0,1,1,0
Valve,0,0,0,1,0,0,0,0,0,0,1,0,0,0
,,,,,,,,,,,,,,
Parameters for pipes,,,,,,,,,,,,,,
Lengths [m],0,5,15,0,15,15,5,15,5,15,0,20,5,0
Diameters [mm],0,25,25,0,25,25,25,15,25,25,0,15,15,0
,,,,,,,,,,,,,,
Parameters for valves,,,,,,,,,,,,,,
Conductive function (rate) kv(OD),0,0,0,1,0,0,0,0,0,0,1,0,0,0
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Parameters for pumps,,,,,,,,,,,,,,
Pump time delay,,,,,,,,,,,,,,
a0,0.0009,0,0,0,0,0,0,0,0,0,0,0,0,0.0009
a1,0.0038,0,0,0,0,0,0,0,0,0,0,0,0,0.0038
a2,-0.3292,0,0,0,0,0,0,0,0,0,0,0,0,-0.3292
,,,,,,,,,,,,,,
Demands,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,d13,
nonzero,1,0,0,0,1,0,0,1,1,0,0,0,1,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Surface Resistance,,,,,,,,,,,,,,
epsilon [mm],0,0.05,0.05,0,0.05,0.05,0.05,0.05,0.05,0.05,0,0.05,0.05,0
Reynolds,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Form Resistance,,,,,,,,,,,,,,
Form coefficient (kf) (p. 16 Swamee),1.8,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Tank parameters,,,,,,,,,,,,,,
Diameter [m],0.6,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Incidence matrix,,,,,,,,,,,,,,
,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14
v1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
v2,-1,1,0,0,0,0,0,0,0,0,0,0,0,0
v3,0,-1,1,0,1,0,0,0,0,0,0,0,0,0
v4,0,0,-1,1,0,1,0,0,0,0,0,0,0,0
v5,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
v6,0,0,0,0,-1,0,1,1,0,0,0,0,0,0
v7,0,0,0,0,0,-1,-1,0,1,0,0,0,0,0
v8,0,0,0,0,0,0,0,0,-1,1,0,0,0,0
v9,0,0,0,0,0,0,0,0,0,0,-1,0,0,0
v10,0,0,0,0,0,0,0,-1,0,0,1,-1,0,0
v11,0,0,0,0,0,0,0,0,0,-1,0,1,-1,0
v12,0,0,0,0,0,0,0,0,0,0,0,0,1,-1
v13,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,0,0,0,0,0,0,0,0,0,0,0,0,0,0
